"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Bench Press (Dumbbell)";"3";"22.0";"10";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Bent Over One Arm Row (Dumbbell)";"1";"22.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Bent Over One Arm Row (Dumbbell)";"2";"22.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Bent Over One Arm Row (Dumbbell)";"3";"22.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Cable Crossover";"1";"13.75";"15";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Cable Crossover";"2";"13.75";"15";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Cable Crossover";"3";"13.75";"14";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Goblet Squat (Kettlebell)";"1";"16.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Goblet Squat (Kettlebell)";"2";"16.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Goblet Squat (Kettlebell)";"3";"16.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Romanian Deadlift (Barbell)";"1";"30.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Romanian Deadlift (Barbell)";"2";"30.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Romanian Deadlift (Barbell)";"3";"30.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Sit Up";"1";"15.0";"15";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Sit Up";"2";"15.0";"15";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Sit Up";"3";"15.0";"15";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Russian Twist";"1";"";"16";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Russian Twist";"2";"";"16";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Russian Twist";"3";"";"16";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Lateral Raise (Dumbbell)";"1";"5.0";"15";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Lateral Raise (Dumbbell)";"2";"5.0";"15";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Lateral Raise (Dumbbell)";"3";"5.0";"15";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Bicep Curl (Dumbbell)";"1";"8.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Bicep Curl (Dumbbell)";"2";"8.0";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Bicep Curl (Dumbbell)";"3";"8.0";"12";"";"";"";"";""
